ORDER_ID,YOUR_ORDER_ID,ORDER_TYPE,OFFER_NAME,YOUR_SKU,SHOP_SKU,DELIVERED_COUNT,RETURNED_COUNT,ORDER_CREATION_DATE,TRANSFERRED_TO_DELIVERY_DATE,DELIVERY_DATE,RETURN_WAREHOUSE_OR_SC_ACCEPT_DATE,PAYMENT_TYPE,VAT,PRICE_WITH_VAT_AND_NO_DISCOUNT,SHOP_MARKETPLACE_DISCOUNT,SPASIBO_DISCOUNT,YANDEX_PLUS_DISCOUNT,PRICE_WITH_VAT_AND_ALL_DISCOUNTS,RETURN_PRICE_SUM_WITH_VAT_AND_NO_DISCOUNTS,RETURN_DISCOUNT_SUM,RETURN_PRICE_SUM_WITH_VAT_AND_DISCOUNTS,RNPT,ORGANIZATION,INN,KPP,ORGANIZATION_JUR_ADDRESS,UPD_STATUS,UPD_DATE,UPD_NUMBER,UKD_STATUS,UKD_DATE,UKD_NUMBER,CONSIGNMENT_NOTE_DATE,CONSIGNMENT_NOTE_NUMBER,INVOICE_DATE,INVOICE_NUMBER,ADJUSTMENT_INVOICE_DATE,ADJUSTMENT_INVOICE_NUMBER,REDEEMED_PRICE
56831949634,56831949634,Продажа физлицу,Тумба подвесная SanStar Noche 80 с раковиной Фостер 80 (комплект) для ванной комнаты Графит софт,424.1-1.4.1.КФОС,424.1-1.4.1.КФОС,1,1,07.05.2026,09.05.2026,14.05.2026,28.05.2026,Предоплата,22%,33704,18656,0,0,15048,33704,18656,15048,,,,,,,,,,,,,,,,,,
56914152643,56914152643,Продажа физлицу,"Тумба напольная SanStar Модена 80 Без раковины для ванной комнаты, белая, дуб вотан",486.1-1.4.1.Р,486.1-1.4.1.Р,1,1,09.05.2026,11.05.2026,15.05.2026,21.05.2026,При получении,22%,18082,6455,0,0,11627,18082,6455,11627,,,,,,,,,,,,,,,,,,
56959619648,56959619648,Продажа физлицу,Тумба подвесная SanStar Lavanti 70 Без раковины для ванной комнаты Дуб вотан,440.1-1.4.1.,440.1-1.4.1.,1,1,11.05.2026,12.05.2026,13.05.2026,29.05.2026,Предоплата,22%,14839,5146,0,0,9693,14839,5146,9693,,,,,,,,,,,,,,,,,,
56966872896,56966872896,Продажа физлицу,"Тумба подвесная SanStar Lavanti 90 с раковиной Квадро 90 (комплект) для ванной комнаты, Дуб вотан",469.1-1.4.1.ККВА,469.1-1.4.1.ККВА,1,1,11.05.2026,12.05.2026,15.05.2026,26.05.2026,Предоплата,22%,32084,11389,0,0,20695,32084,11389,20695,,,,,,,,,,,,,,,,,,
56975676417,56975676417,Продажа физлицу,"Тумба подвесная SanStar Diva 60 с раковиной Фостер 60 (комплект) для ванной комнаты, Gold Craft",534.1-1.4.1.КФОС,534.1-1.4.1.КФОС,1,1,11.05.2026,14.05.2026,17.05.2026,26.05.2026,Предоплата,22%,21677,7921,0,0,13756,21677,7921,13756,,,,,,,,,,,,,,,,,,
57011055427,57011055427,Продажа физлицу,"Тумба подвесная SanStar Адель 100 с раковиной Фостер 100 (комплект) для ванной комнаты, белая",386.1-1.4.1.КФОС,386.1-1.4.1.КФОС,1,1,12.05.2026,13.05.2026,16.05.2026,26.05.2026,Предоплата,22%,37446,13213,0,0,24233,37446,13213,24233,,,,,,,,,,,,,,,,,,
57018861632,57018861632,Продажа физлицу,"Тумба подвесная SanStar Велья 80 с раковиной Como 80 (комплект) для ванной комнаты, белая",62.2-1.4.1.ККОМ,62.2-1.4.1.ККОМ,1,1,12.05.2026,16.05.2026,17.05.2026,31.05.2026,Предоплата,22%,27908,10143,0,0,17765,27908,10143,17765,,,,,,,,,,,,,,,,,,
57025894657,57025894657,Продажа физлицу,"Тумба подвесная SanStar Graffa 60 с раковиной Фест 60 (комплект) для ванной комнаты Дуб вотан, графит софт",451.1-1.4.1.КФЕС,451.1-1.4.1.КФЕС,1,1,13.05.2026,14.05.2026,17.05.2026,26.05.2026,Яндекс.Сплит (предоплата),22%,21914,9663,0,0,12251,21914,9663,12251,,,,,,,,,,,,,,,,,,
57035581824,57035581824,Продажа физлицу,"Тумба напольная SanStar Июнь 80 Без раковины для ванной комнаты, белая",3431141,3431141,1,1,13.05.2026,16.05.2026,18.05.2026,28.05.2026,Предоплата,22%,13376,5318,0,0,8058,13376,5318,8058,,,,,,,,,,,,,,,,,,
57075634882,57075634882,Продажа физлицу,"Тумба подвесная SanStar Riana 70 с раковиной Фостер 70 (комплект) для ванной комнаты, Gold Craft",509.1-1.4.1.КФОС,509.1-1.4.1.КФОС,1,1,14.05.2026,15.05.2026,16.05.2026,31.05.2026,Предоплата,22%,32374,13065,0,0,19309,32374,13065,19309,,,,,,,,,,,,,,,,,,
57088787586,57088787586,Продажа физлицу,"Тумба напольная SanStar Июнь 40 Без раковины для ванной комнаты, белая",1491-141,1491-141,1,1,14.05.2026,15.05.2026,19.05.2026,28.05.2026,При получении,22%,8026,2904,0,0,5122,8026,2904,5122,,,,,,,,,,,,,,,,,,
57090814147,57090814147,Продажа физлицу,"Тумба подвесная SanStar Адель 50 Без раковины для ванной комнаты, белая",209.1-1.4.1.,2091-141,1,1,14.05.2026,16.05.2026,22.05.2026,31.05.2026,При получении,22%,13382,4055,0,0,9327,13382,4055,9327,,,,,,,,,,,,,,,,,,
57160999745,57160999745,Продажа физлицу,"Тумба напольная SanStar Модена 70 с раковиной Фостер 70 (комплект) для ванной комнаты, графит софт",480.1-1.4.1.РКФОС,480.1-1.4.1.РКФОС,1,1,16.05.2026,20.05.2026,22.05.2026,30.05.2026,Предоплата,22%,27787,10058,0,0,17729,27787,10058,17729,,,,,,,,,,,,,,,,,,
57409314880,57409314880,Продажа физлицу,"Тумба подвесная SanStar Riana 50 Без раковины для ванной комнаты, Gold Craft",507.1-1.4.1.,507.1-1.4.1.,1,1,23.05.2026,25.05.2026,26.05.2026,29.05.2026,При получении,22%,19949,7663,0,0,12286,19949,7663,12286,,,,,,,,,,,,,,,,,,
